,Outcome,Sex_Intact Female,Sex_Intact Male,Sex_Neutered Male,Sex_Spayed Female,Sex_Unknown,AnimalType_Cat,AnimalType_Dog,HasName_Yes,HasName_No,Age_in_Months,Colors,Breeds
1641,Transfer,0,0,1,0,0,1,0,1,0,3.0,Tabby,Mix
1642,Return_to_owner,0,1,0,0,0,0,1,1,0,9.0,BiColor,Mix
1643,Transfer,1,0,0,0,0,1,0,0,1,0.5,BiColor,Mix
1644,Transfer,0,0,1,0,0,1,0,1,0,72.0,Blue,Mix
1645,Transfer,0,0,0,1,0,0,1,0,1,144.0,BiColor,Mix
1646,Transfer,0,0,0,1,0,1,0,1,0,9.0,Blue,Mix
1647,Transfer,0,0,1,0,0,1,0,1,0,4.0,Tabby,Mix
1648,Euthanasia,1,0,0,0,0,0,1,0,1,144.0,BiColor,Mix
1649,Adoption,0,0,1,0,0,0,1,1,0,8.0,BiColor,Purebreed
1650,Adoption,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
1651,Euthanasia,0,0,0,0,1,1,0,0,1,0.5,BiColor,Mix
1652,Euthanasia,0,0,1,0,0,1,0,1,0,24.0,Tabby,Mix
1653,Adoption,0,0,1,0,0,0,1,1,0,12.0,Brown,Mix
1654,Euthanasia,1,0,0,0,0,0,1,1,0,48.0,BiColor,Mix
1655,Adoption,0,0,1,0,0,0,1,1,0,12.0,Tan,Mix
1656,Adoption,0,0,1,0,0,1,0,0,1,2.0,Tabby,Mix
1657,Euthanasia,0,0,1,0,0,0,1,1,0,96.0,BiColor,Mix
1658,Transfer,0,1,0,0,0,1,0,0,1,0.25,Tabby,Mix
1659,Adoption,0,0,0,1,0,0,1,1,0,10.0,BiColor,Hybrid
1660,Transfer,1,0,0,0,0,1,0,0,1,3.0,BiColor,Mix
1661,Return_to_owner,0,0,0,1,0,0,1,1,0,120.0,Tan,Mix
1662,Adoption,0,0,0,1,0,0,1,1,0,4.0,BiColor,Mix
1663,Transfer,0,0,1,0,0,0,1,1,0,36.0,Brown,Mix
1664,Euthanasia,0,0,0,1,0,0,1,1,0,36.0,BiColor,Hybrid
1665,Adoption,0,0,0,1,0,0,1,1,0,1.0,Brown,Mix
1666,Return_to_owner,0,0,1,0,0,1,0,1,0,24.0,Black,Mix
1667,Adoption,0,0,1,0,0,0,1,1,0,2.0,Brown,Hybrid
1668,Adoption,0,0,0,1,0,0,1,1,0,12.0,BiColor,Hybrid
1669,Transfer,0,0,1,0,0,0,1,1,0,3.0,Tricolor,Mix
1670,Transfer,0,0,1,0,0,1,0,1,0,2.0,Chocolate,Mix
1671,Return_to_owner,0,0,0,1,0,0,1,1,0,60.0,White,Hybrid
1672,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
1673,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
1674,Adoption,0,0,0,1,0,1,0,1,0,2.0,Torbie,Mix
1675,Transfer,1,0,0,0,0,0,1,0,1,0.5,BiColor,Mix
1676,Transfer,1,0,0,0,0,1,0,0,1,0.75,Blue,Mix
1677,Transfer,0,1,0,0,0,0,1,0,1,1.0,Black,Mix
1678,Return_to_owner,0,0,1,0,0,0,1,1,0,36.0,Tricolor,Mix
1679,Transfer,0,0,0,1,0,1,0,1,0,8.0,Tortie,Mix
1680,Transfer,1,0,0,0,0,1,0,0,1,12.0,Black,Mix
1681,Adoption,0,0,0,1,0,1,0,0,1,2.0,BiColor,Mix
1682,Adoption,0,0,1,0,0,1,0,1,0,12.0,BiColor,Mix
1683,Return_to_owner,0,0,1,0,0,0,1,1,0,120.0,Black,Mix
1684,Transfer,0,1,0,0,0,0,1,1,0,12.0,BiColor,Mix
1685,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
1686,Transfer,0,0,0,0,1,1,0,0,1,0.0,BiColor,Mix
1687,Transfer,0,0,1,0,0,0,1,1,0,24.0,BiColor,Hybrid
1688,Return_to_owner,0,0,1,0,0,1,0,1,0,6.0,Blue,Mix
1689,Transfer,0,1,0,0,0,1,0,0,1,0.5,Black,Mix
1690,Return_to_owner,0,0,1,0,0,1,0,1,0,24.0,BiColor,Mix
1691,Return_to_owner,0,1,0,0,0,0,1,0,1,0.5,BiColor,Mix
1692,Adoption,0,0,0,1,0,0,1,1,0,84.0,BiColor,Mix
1693,Transfer,0,1,0,0,0,1,0,1,0,12.0,Seal Point,Mix
1694,Transfer,1,0,0,0,0,1,0,0,1,0.75,Tabby,Mix
1695,Adoption,1,0,0,0,0,1,0,1,0,3.0,Black,Mix
1696,Return_to_owner,0,0,1,0,0,0,1,1,0,72.0,BiColor,Mix
1697,Transfer,1,0,0,0,0,1,0,1,0,1.0,Tabby,Mix
1698,Transfer,1,0,0,0,0,0,1,0,1,24.0,BiColor,Mix
1699,Transfer,0,1,0,0,0,0,1,1,0,1.0,Sable,Mix
1700,Adoption,0,0,1,0,0,0,1,0,1,3.0,BiColor,Mix
1701,Adoption,0,0,1,0,0,0,1,0,1,2.0,Tricolor,Mix
1702,Adoption,0,0,0,1,0,0,1,1,0,48.0,BiColor,Purebreed
1703,Adoption,0,0,1,0,0,0,1,1,0,12.0,Brown,Hybrid
1704,Transfer,0,0,0,1,0,0,1,0,1,36.0,Black,Mix
1705,Transfer,1,0,0,0,0,1,0,0,1,4.0,Tabby,Mix
1706,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
1707,Return_to_owner,0,0,1,0,0,0,1,1,0,144.0,Other,Purebreed
1708,Return_to_owner,0,0,1,0,0,0,1,1,0,60.0,BiColor,Purebreed
1709,Adoption,0,0,1,0,0,0,1,1,0,84.0,BiColor,Mix
1710,Transfer,1,0,0,0,0,1,0,0,1,0.5,Tortie,Mix
1711,Adoption,0,0,0,1,0,0,1,1,0,2.0,Black,Mix
1712,Transfer,0,0,0,1,0,0,1,1,0,5.0,Tan,Mix
1713,Adoption,0,0,1,0,0,1,0,1,0,24.0,Seal Point,Mix
1714,Return_to_owner,0,0,0,1,0,1,0,0,1,4.0,Blue,Mix
1715,Return_to_owner,0,0,1,0,0,0,1,1,0,48.0,BiColor,Mix
1716,Adoption,0,0,0,1,0,0,1,1,0,132.0,BiColor,Mix
1717,Adoption,0,0,0,1,0,0,1,1,0,12.0,Brown,Mix
1718,Transfer,0,0,0,0,1,0,1,0,1,0.0,Tan,Mix
1719,Return_to_owner,0,0,0,1,0,0,1,1,0,36.0,BiColor,Mix
1720,Adoption,0,0,1,0,0,1,0,1,0,3.0,Black,Mix
1721,Euthanasia,0,1,0,0,0,0,1,1,0,1.0,BiColor,Mix
1722,Transfer,0,1,0,0,0,1,0,1,0,0.75,Tabby,Mix
1723,Adoption,0,0,0,1,0,1,0,1,0,6.0,Tortie,Mix
1724,Transfer,0,0,0,0,1,1,0,0,1,12.0,BiColor,Mix
1725,Transfer,1,0,0,0,0,1,0,1,0,1.0,Tabby,Mix
1726,Adoption,0,0,1,0,0,1,0,1,0,2.0,Tabby,Purebreed
1727,Transfer,0,0,1,0,0,0,1,1,0,12.0,BiColor,Mix
1728,Return_to_owner,0,0,1,0,0,0,1,1,0,36.0,BiColor,Mix
1729,Return_to_owner,0,0,0,1,0,0,1,1,0,12.0,BiColor,Purebreed
1730,Transfer,0,0,1,0,0,0,1,1,0,10.0,BiColor,Mix
1731,Euthanasia,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
1732,Return_to_owner,0,0,0,1,0,0,1,1,0,108.0,BiColor,Hybrid
1733,Adoption,0,0,1,0,0,0,1,1,0,7.0,Tricolor,Mix
1734,Euthanasia,0,0,0,0,1,1,0,0,1,0.0,Tabby,Mix
1735,Return_to_owner,0,0,1,0,0,0,1,1,0,9.0,Black,Mix
1736,Transfer,0,0,1,0,0,0,1,0,1,12.0,Tan,Mix
1737,Adoption,0,0,1,0,0,0,1,1,0,36.0,BiColor,Mix
1738,Return_to_owner,0,0,1,0,0,0,1,1,0,12.0,BiColor,Mix
1739,Adoption,0,0,1,0,0,0,1,1,0,12.0,BiColor,Mix
1740,Adoption,0,0,0,1,0,1,0,1,0,36.0,Black,Mix
1741,Adoption,0,1,0,0,0,0,1,1,0,12.0,BiColor,Hybrid
1742,Adoption,0,0,1,0,0,1,0,0,1,2.0,Black,Mix
1743,Euthanasia,0,0,1,0,0,1,0,1,0,4.0,Tabby,Mix
1744,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
1745,Euthanasia,0,1,0,0,0,0,1,1,0,24.0,Brown,Mix
1746,Transfer,0,0,0,0,1,1,0,0,1,12.0,Tabby,Mix
1747,Adoption,0,0,0,1,0,1,0,1,0,2.0,BiColor,Mix
1748,Transfer,1,0,0,0,0,1,0,0,1,0.75,Torbie,Mix
1749,Transfer,1,0,0,0,0,1,0,0,1,12.0,BiColor,Mix
1750,Euthanasia,0,1,0,0,0,0,1,0,1,36.0,BiColor,Hybrid
1751,Return_to_owner,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
1752,Return_to_owner,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
1753,Transfer,0,0,0,1,0,0,1,1,0,84.0,Other,Mix
1754,Transfer,0,1,0,0,0,1,0,0,1,0.0,Tabby,Mix
1755,Transfer,0,0,0,0,1,1,0,0,1,0.75,BiColor,Mix
1756,Return_to_owner,0,0,1,0,0,0,1,1,0,36.0,BiColor,Mix
1757,Adoption,1,0,0,0,0,1,0,1,0,2.0,BiColor,Mix
1758,Adoption,0,0,0,1,0,0,1,1,0,2.0,BiColor,Hybrid
1759,Adoption,0,0,1,0,0,1,0,1,0,144.0,BiColor,Mix
1760,Adoption,0,0,1,0,0,0,1,1,0,10.0,BiColor,Mix
1761,Adoption,0,0,0,1,0,0,1,0,1,2.0,BiColor,Hybrid
1762,Return_to_owner,0,0,0,1,0,0,1,1,0,72.0,BiColor,Hybrid
1763,Adoption,0,0,0,1,0,1,0,1,0,2.0,Tortie,Mix
1764,Transfer,0,1,0,0,0,1,0,0,1,24.0,BiColor,Mix
1765,Transfer,0,0,0,1,0,0,1,1,0,8.0,Brown,Mix
1766,Adoption,0,0,1,0,0,0,1,1,0,1.0,BiColor,Mix
1767,Transfer,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
1768,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Hybrid
1769,Adoption,0,0,0,1,0,1,0,1,0,2.0,Tabby,Mix
1770,Adoption,0,0,1,0,0,0,1,1,0,6.0,BiColor,Hybrid
1771,Transfer,0,0,0,0,1,1,0,0,1,24.0,Tabby,Mix
1772,Return_to_owner,0,0,0,1,0,0,1,1,0,24.0,BiColor,Hybrid
1773,Adoption,0,0,1,0,0,0,1,1,0,36.0,Brown,Hybrid
1774,Transfer,1,0,0,0,0,0,1,1,0,12.0,White,Purebreed
1775,Adoption,0,0,0,1,0,0,1,0,1,24.0,BiColor,Mix
1776,Transfer,1,0,0,0,0,0,1,1,0,36.0,Tan,Mix
1777,Transfer,1,0,0,0,0,1,0,0,1,5.0,Calico,Mix
1778,Return_to_owner,0,0,1,0,0,0,1,1,0,132.0,Cream,Mix
1779,Transfer,1,0,0,0,0,1,0,0,1,0.75,Tabby,Mix
1780,Transfer,0,0,0,0,1,1,0,0,1,0.5,Tabby,Mix
1781,Adoption,0,0,0,1,0,0,1,1,0,24.0,Tricolor,Hybrid
1782,Transfer,0,0,0,1,0,1,0,1,0,24.0,Black,Mix
1783,Adoption,0,0,1,0,0,1,0,1,0,2.0,BiColor,Mix
1784,Adoption,0,0,0,1,0,1,0,0,1,2.0,Black,Purebreed
1785,Return_to_owner,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
1786,Adoption,0,0,0,1,0,0,1,1,0,36.0,White,Mix
1787,Return_to_owner,0,0,1,0,0,0,1,1,0,5.0,BiColor,Mix
1788,Transfer,0,0,1,0,0,0,1,1,0,12.0,BiColor,Hybrid
1789,Adoption,0,0,1,0,0,0,1,1,0,72.0,BiColor,Mix
1790,Return_to_owner,0,0,0,1,0,0,1,1,0,24.0,BiColor,Hybrid
1791,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
1792,Return_to_owner,0,0,1,0,0,0,1,1,0,36.0,Other,Mix
1793,Transfer,0,0,0,1,0,1,0,1,0,2.0,Calico,Mix
1794,Transfer,0,1,0,0,0,1,0,0,1,0.0,Tabby,Mix
1795,Transfer,0,0,1,0,0,1,0,1,0,12.0,BiColor,Mix
1796,Return_to_owner,1,0,0,0,0,0,1,0,1,0.5,BiColor,Mix
1797,Transfer,0,1,0,0,0,0,1,0,1,1.0,BiColor,Mix
1798,Adoption,0,0,1,0,0,1,0,1,0,2.0,Tabby,Mix
1799,Transfer,0,0,0,1,0,0,1,1,0,36.0,White,Mix
1800,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
1801,Transfer,0,0,1,0,0,1,0,0,1,180.0,BiColor,Mix
1802,Adoption,0,0,0,1,0,1,0,1,0,2.0,Lynx Point,Mix
1803,Adoption,0,0,1,0,0,1,0,1,0,2.0,Tabby,Mix
1804,Adoption,0,0,0,1,0,0,1,0,1,12.0,Brown,Mix
1805,Adoption,0,0,0,1,0,1,0,1,0,2.0,Calico,Mix
1806,Transfer,0,1,0,0,0,0,1,0,1,3.0,BiColor,Mix
1807,Transfer,0,0,0,0,1,1,0,0,1,12.0,Tabby,Mix
1808,Transfer,1,0,0,0,0,1,0,0,1,1.0,Black,Mix
1809,Transfer,0,0,1,0,0,0,1,0,1,12.0,BiColor,Mix
1810,Euthanasia,1,0,0,0,0,1,0,0,1,12.0,Black,Mix
1811,Transfer,0,0,0,1,0,0,1,1,0,3.0,BiColor,Mix
1812,Transfer,1,0,0,0,0,1,0,0,1,5.0,Calico,Mix
1813,Transfer,0,0,1,0,0,0,1,1,0,144.0,Other,Mix
1814,Transfer,0,0,0,0,1,1,0,0,1,0.5,Black,Mix
1815,Transfer,0,1,0,0,0,1,0,0,1,12.0,BiColor,Mix
1816,Return_to_owner,0,0,1,0,0,0,1,1,0,96.0,BiColor,Mix
1817,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
1818,Transfer,0,1,0,0,0,0,1,0,1,4.0,BiColor,Mix
1819,Transfer,0,1,0,0,0,1,0,0,1,0.75,BiColor,Mix
1820,Transfer,1,0,0,0,0,1,0,1,0,12.0,BiColor,Mix
1821,Transfer,1,0,0,0,0,1,0,0,1,24.0,Tabby,Mix
1822,Adoption,0,0,1,0,0,0,1,1,0,12.0,BiColor,Mix
1823,Transfer,0,0,1,0,0,0,1,0,1,60.0,BiColor,Mix
1824,Adoption,0,0,0,1,0,1,0,0,1,10.0,BiColor,Mix
1825,Return_to_owner,0,0,1,0,0,0,1,1,0,72.0,BiColor,Mix
1826,Euthanasia,0,0,1,0,0,0,1,1,0,24.0,Black,Mix
1827,Transfer,0,0,0,1,0,1,0,1,0,84.0,BiColor,Mix
1828,Transfer,1,0,0,0,0,0,1,0,1,1.0,BiColor,Hybrid
1829,Adoption,0,0,0,1,0,0,1,1,0,36.0,BiColor,Mix
1830,Return_to_owner,0,0,0,1,0,0,1,1,0,48.0,BiColor,Mix
1831,Adoption,0,0,1,0,0,1,0,1,0,12.0,Tabby,Purebreed
1832,Adoption,0,0,1,0,0,0,1,1,0,72.0,BiColor,Mix
1833,Transfer,0,0,1,0,0,0,1,1,0,48.0,BiColor,Mix
1834,Adoption,0,0,1,0,0,0,1,1,0,36.0,BiColor,Mix
1835,Transfer,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
1836,Adoption,0,0,0,1,0,1,0,1,0,2.0,BiColor,Mix
1837,Transfer,0,1,0,0,0,0,1,0,1,2.0,BiColor,Mix
1838,Return_to_owner,0,0,0,1,0,0,1,1,0,24.0,Chocolate,Mix
1839,Transfer,0,0,1,0,0,0,1,1,0,60.0,BiColor,Mix
1840,Transfer,0,1,0,0,0,0,1,1,0,24.0,BiColor,Mix
1841,Adoption,0,0,0,1,0,1,0,1,0,2.0,Tortie,Mix
1842,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
1843,Return_to_owner,0,0,1,0,0,0,1,1,0,108.0,BiColor,Mix
1844,Transfer,0,0,0,1,0,0,1,1,0,36.0,Brown,Mix
1845,Died,0,1,0,0,0,1,0,0,1,0.0,Black,Mix
1846,Adoption,0,0,1,0,0,0,1,1,0,60.0,BiColor,Mix
1847,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
1848,Euthanasia,0,1,0,0,0,0,1,0,1,84.0,Tricolor,Mix
1849,Transfer,0,0,1,0,0,1,0,1,0,24.0,BiColor,Mix
1850,Died,0,0,0,0,1,1,0,0,1,12.0,BiColor,Mix
1851,Adoption,0,0,0,1,0,0,1,1,0,12.0,Black,Hybrid
1852,Transfer,0,1,0,0,0,1,0,0,1,4.0,Tabby,Mix
1853,Adoption,0,0,0,1,0,0,1,1,0,36.0,BiColor,Mix
1854,Transfer,0,0,0,0,1,1,0,0,1,24.0,BiColor,Mix
1855,Return_to_owner,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
1856,Adoption,0,0,1,0,0,1,0,1,0,2.0,Black,Mix
1857,Return_to_owner,0,0,1,0,0,0,1,1,0,36.0,BiColor,Mix
1858,Adoption,0,0,0,1,0,0,1,1,0,4.0,Tricolor,Mix
1859,Adoption,0,0,0,1,0,0,1,1,0,10.0,BiColor,Mix
1860,Adoption,0,0,1,0,0,0,1,1,0,24.0,Brown,Mix
1861,Adoption,0,0,0,1,0,1,0,1,0,2.0,BiColor,Mix
1862,Transfer,0,1,0,0,0,1,0,0,1,3.0,BiColor,Mix
1863,Adoption,0,0,0,1,0,0,1,1,0,48.0,BiColor,Mix
1864,Transfer,0,0,1,0,0,1,0,1,0,24.0,Tabby,Mix
1865,Transfer,0,1,0,0,0,0,1,1,0,1.0,Tan,Mix
1866,Return_to_owner,0,0,0,1,0,0,1,1,0,72.0,Sable,Mix
1867,Adoption,0,0,1,0,0,1,0,1,0,3.0,Tabby,Mix
1868,Adoption,0,0,0,1,0,1,0,1,0,2.0,BiColor,Mix
1869,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
1870,Adoption,0,0,0,1,0,1,0,1,0,12.0,Calico,Mix
1871,Adoption,0,0,1,0,0,1,0,1,0,2.0,BiColor,Mix
1872,Transfer,0,0,1,0,0,0,1,1,0,72.0,BiColor,Mix
1873,Transfer,0,1,0,0,0,0,1,1,0,2.0,White,Purebreed
1874,Adoption,0,0,0,1,0,1,0,1,0,2.0,Tortie,Mix
1875,Adoption,0,0,1,0,0,0,1,1,0,12.0,Brown,Mix
1876,Adoption,0,0,1,0,0,0,1,1,0,36.0,BiColor,Mix
1877,Euthanasia,0,1,0,0,0,1,0,0,1,12.0,Blue,Mix
1878,Adoption,0,0,1,0,0,0,1,1,0,36.0,BiColor,Hybrid
1879,Adoption,0,0,0,1,0,0,1,1,0,96.0,Red,Mix
1880,Transfer,0,0,0,1,0,1,0,1,0,36.0,White,Mix
1881,Adoption,0,0,1,0,0,0,1,1,0,24.0,Tan,Mix
1882,Adoption,0,0,0,1,0,0,1,1,0,60.0,White,Purebreed
1883,Transfer,0,0,0,0,1,1,0,0,1,0.25,Tabby,Mix
1884,Transfer,1,0,0,0,0,0,1,1,0,24.0,BiColor,Purebreed
1885,Transfer,0,1,0,0,0,1,0,1,0,24.0,BiColor,Mix
1886,Adoption,0,0,0,1,0,0,1,1,0,3.0,BiColor,Mix
1887,Return_to_owner,0,0,1,0,0,0,1,1,0,120.0,BiColor,Mix
1888,Transfer,0,0,1,0,0,1,0,1,0,24.0,BiColor,Mix
1889,Return_to_owner,0,1,0,0,0,0,1,1,0,12.0,Black,Mix
1890,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
1891,Adoption,0,0,1,0,0,0,1,1,0,6.0,BiColor,Mix
1892,Transfer,0,0,1,0,0,1,0,1,0,96.0,BiColor,Mix
1893,Euthanasia,0,0,1,0,0,1,0,1,0,24.0,Black,Mix
1894,Euthanasia,1,0,0,0,0,0,1,0,1,72.0,Brown,Mix
1895,Adoption,0,0,1,0,0,0,1,1,0,108.0,White,Purebreed
1896,Adoption,0,0,1,0,0,1,0,1,0,3.0,Tabby,Mix
1897,Adoption,0,0,1,0,0,0,1,1,0,36.0,BiColor,Mix
1898,Return_to_owner,0,0,0,1,0,1,0,1,0,24.0,Tortie,Mix
1899,Adoption,0,0,1,0,0,0,1,1,0,12.0,BiColor,Mix
1900,Transfer,0,1,0,0,0,1,0,0,1,4.0,Tabby,Mix
1901,Transfer,1,0,0,0,0,1,0,0,1,1.0,Tabby,Mix
1902,Euthanasia,0,1,0,0,0,0,1,1,0,4.0,BiColor,Mix
1903,Transfer,0,1,0,0,0,1,0,0,1,0.75,BiColor,Mix
1904,Return_to_owner,0,0,1,0,0,0,1,1,0,72.0,White,Mix
1905,Adoption,0,0,1,0,0,0,1,1,0,48.0,Tricolor,Purebreed
1906,Transfer,1,0,0,0,0,1,0,0,1,0.5,BiColor,Mix
1907,Adoption,0,0,0,1,0,1,0,1,0,1.0,BiColor,Mix
1908,Adoption,0,0,0,1,0,1,0,0,1,2.0,Calico,Mix
1909,Euthanasia,0,0,1,0,0,0,1,1,0,36.0,BiColor,Mix
1910,Return_to_owner,0,0,1,0,0,0,1,1,0,108.0,BiColor,Mix
1911,Adoption,0,0,0,1,0,0,1,1,0,24.0,Black,Mix
1912,Return_to_owner,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
1913,Transfer,1,0,0,0,0,0,1,1,0,2.0,BiColor,Mix
1914,Return_to_owner,0,0,1,0,0,0,1,1,0,12.0,White,Mix
1915,Adoption,0,0,0,1,0,1,0,1,0,12.0,Calico,Mix
1916,Transfer,0,1,0,0,0,0,1,1,0,24.0,BiColor,Hybrid
1917,Transfer,1,0,0,0,0,1,0,0,1,0.0,Tabby,Mix
1918,Adoption,0,0,0,1,0,1,0,1,0,2.0,Tabby,Mix
1919,Transfer,0,1,0,0,0,1,0,0,1,24.0,Tabby,Mix
1920,Adoption,0,0,1,0,0,0,1,1,0,36.0,Brown,Mix
1921,Return_to_owner,0,0,1,0,0,0,1,1,0,12.0,BiColor,Mix
1922,Return_to_owner,1,0,0,0,0,0,1,1,0,120.0,Black,Mix
1923,Adoption,0,0,1,0,0,0,1,1,0,6.0,Red,Mix
1924,Died,0,1,0,0,0,1,0,1,0,1.0,Tabby,Mix
1925,Adoption,0,0,0,1,0,1,0,1,0,12.0,BiColor,Mix
1926,Adoption,0,0,0,1,0,0,1,1,0,36.0,BiColor,Mix
1927,Return_to_owner,0,0,0,1,0,0,1,1,0,108.0,BiColor,Purebreed
1928,Return_to_owner,1,0,0,0,0,0,1,1,0,36.0,Tan,Mix
1929,Adoption,0,0,0,1,0,0,1,0,1,2.0,BiColor,Mix
1930,Transfer,1,0,0,0,0,0,1,0,1,10.0,BiColor,Hybrid
1931,Transfer,0,0,0,0,1,0,1,1,0,6.0,White,Mix
1932,Adoption,0,0,1,0,0,0,1,1,0,36.0,BiColor,Purebreed
1933,Transfer,0,0,1,0,0,0,1,0,1,24.0,Brown,Mix
1934,Adoption,0,0,0,1,0,0,1,1,0,12.0,Yellow,Hybrid
1935,Transfer,0,0,1,0,0,0,1,1,0,11.0,BiColor,Hybrid
1936,Transfer,0,0,0,0,1,1,0,0,1,0.5,BiColor,Mix
1937,Adoption,0,0,0,1,0,0,1,1,0,132.0,BiColor,Purebreed
1938,Adoption,0,0,1,0,0,0,1,0,1,2.0,Tricolor,Mix
1939,Transfer,0,0,0,1,0,0,1,1,0,12.0,BiColor,Hybrid
1940,Transfer,0,0,1,0,0,0,1,1,0,12.0,BiColor,Hybrid
1941,Adoption,0,0,0,1,0,0,1,1,0,6.0,Brown Brindle,Mix
1942,Adoption,0,0,0,1,0,1,0,1,0,3.0,Tabby,Mix
1943,Euthanasia,0,0,0,1,0,0,1,1,0,156.0,Tricolor,Mix
1944,Transfer,0,1,0,0,0,1,0,0,1,24.0,Black,Mix
1945,Adoption,0,0,1,0,0,0,1,0,1,4.0,BiColor,Mix
1946,Return_to_owner,0,1,0,0,0,0,1,1,0,24.0,BiColor,Mix
1947,Adoption,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
1948,Transfer,0,0,0,1,0,1,0,0,1,12.0,Tabby,Mix
1949,Return_to_owner,1,0,0,0,0,0,1,1,0,12.0,Sable,Mix
1950,Transfer,0,0,1,0,0,0,1,0,1,4.0,Cream,Mix
1951,Transfer,1,0,0,0,0,1,0,0,1,4.0,Other,Mix
1952,Return_to_owner,0,0,0,1,0,1,0,1,0,84.0,BiColor,Hybrid
1953,Return_to_owner,0,0,0,1,0,0,1,1,0,108.0,Other,Mix
1954,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
1955,Transfer,0,0,1,0,0,0,1,1,0,3.0,BiColor,Hybrid
1956,Return_to_owner,0,0,0,1,0,0,1,1,0,120.0,BiColor,Mix
1957,Transfer,0,0,0,1,0,1,0,1,0,36.0,Torbie,Mix
1958,Return_to_owner,0,0,1,0,0,1,0,1,0,12.0,Tabby,Mix
1959,Transfer,0,0,1,0,0,0,1,0,1,1.0,BiColor,Mix
1960,Adoption,1,0,0,0,0,1,0,1,0,1.0,BiColor,Mix
1961,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
1962,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
1963,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
1964,Transfer,0,0,0,1,0,1,0,1,0,5.0,Tortie,Mix
1965,Transfer,0,0,1,0,0,0,1,1,0,7.0,BiColor,Hybrid
1966,Adoption,0,0,1,0,0,0,1,0,1,2.0,Sable,Mix
1967,Adoption,0,0,1,0,0,0,1,1,0,8.0,BiColor,Mix
1968,Adoption,0,0,0,1,0,0,1,1,0,60.0,BiColor,Mix
1969,Return_to_owner,1,0,0,0,0,0,1,1,0,6.0,Tricolor,Mix
1970,Transfer,0,0,0,1,0,1,0,0,1,12.0,Tabby,Mix
1971,Return_to_owner,1,0,0,0,0,0,1,0,1,0.5,BiColor,Mix
1972,Transfer,1,0,0,0,0,0,1,0,1,1.0,BiColor,Mix
1973,Transfer,0,0,0,1,0,0,1,1,0,12.0,BiColor,Purebreed
1974,Adoption,0,0,1,0,0,0,1,0,1,48.0,BiColor,Mix
1975,Adoption,0,0,0,1,0,1,0,1,0,12.0,Black,Mix
1976,Adoption,0,0,0,1,0,0,1,1,0,3.0,Black,Mix
1977,Adoption,0,0,1,0,0,1,0,1,0,2.0,Tabby,Mix
1978,Transfer,1,0,0,0,0,0,1,1,0,3.0,BiColor,Mix
1979,Return_to_owner,0,0,0,1,0,0,1,1,0,72.0,BiColor,Mix
1980,Return_to_owner,0,0,1,0,0,0,1,1,0,5.0,Black,Mix
1981,Adoption,0,0,0,1,0,0,1,1,0,2.0,BiColor,Mix
1982,Return_to_owner,0,0,0,1,0,0,1,1,0,96.0,Black,Mix
1983,Adoption,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
1984,Return_to_owner,0,0,1,0,0,0,1,1,0,12.0,BiColor,Hybrid
1985,Adoption,0,0,1,0,0,1,0,1,0,3.0,BiColor,Mix
1986,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
1987,Transfer,1,0,0,0,0,1,0,0,1,0.5,Tabby,Mix
1988,Adoption,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
1989,Transfer,1,0,0,0,0,1,0,0,1,0.5,Tortie,Mix
1990,Adoption,0,0,1,0,0,1,0,1,0,7.0,Tabby,Purebreed
1991,Adoption,0,0,0,1,0,0,1,0,1,2.0,Other,Mix
