,Outcome,Sex_Intact Female,Sex_Intact Male,Sex_Neutered Male,Sex_Spayed Female,Sex_Unknown,AnimalType_Cat,AnimalType_Dog,HasName,Age_in_Months,Adopted_Month,Adopted_Time,Colors,Breeds
1220,Adoption,0,0,1,0,0,1,0,1,12.0,10,16,2292,22298
1221,Transfer,0,0,1,0,0,0,1,0,24.0,11,12,639,22298
1222,Adoption,0,0,1,0,0,1,0,1,6.0,1,15,3212,22298
1223,Transfer,0,1,0,0,0,1,0,1,1.0,12,14,3212,22298
1224,Adoption,0,0,1,0,0,0,1,0,24.0,4,12,13924,22298
1225,Adoption,0,0,0,1,0,1,0,1,2.0,11,18,2292,22298
1226,Transfer,0,0,1,0,0,1,0,0,10.0,11,18,3212,22298
1227,Return_to_owner,0,1,0,0,0,0,1,0,0.0,3,13,13924,22298
1228,Euthanasia,1,0,0,0,0,1,0,0,24.0,4,13,517,22298
1229,Adoption,0,0,0,1,0,0,1,1,48.0,9,18,13924,22298
1230,Adoption,0,0,1,0,0,1,0,1,84.0,9,5,2292,22298
1231,Transfer,0,0,0,1,0,1,0,1,84.0,5,14,3212,22298
1232,Adoption,0,0,0,1,0,1,0,1,2.0,10,18,13924,22298
1233,Adoption,0,0,0,1,0,0,1,1,2.0,9,17,13924,22298
1234,Transfer,0,1,0,0,0,1,0,0,0.75,12,15,3212,22298
1235,Return_to_owner,0,0,1,0,0,0,1,1,48.0,12,12,13924,1391
1236,Transfer,0,0,0,0,1,1,0,0,0.5,6,14,13924,22298
1237,Adoption,0,0,1,0,0,0,1,1,2.0,10,11,932,3040
1238,Transfer,0,1,0,0,0,1,0,0,0.5,7,18,13924,22298
1239,Adoption,0,0,1,0,0,0,1,1,24.0,3,17,2772,22298
1240,Adoption,0,0,0,1,0,0,1,1,12.0,4,11,13924,22298
1241,Transfer,0,1,0,0,0,0,1,1,2.0,10,12,628,3040
1242,Adoption,0,0,0,1,0,0,1,1,24.0,7,16,13924,22298
1243,Adoption,0,0,0,1,0,0,1,1,48.0,11,18,13924,22298
1244,Return_to_owner,0,0,1,0,0,0,1,1,36.0,5,17,13924,3040
1245,Return_to_owner,0,1,0,0,0,0,1,1,96.0,9,11,13924,22298
1246,Return_to_owner,0,0,1,0,0,0,1,1,24.0,4,11,2292,22298
1247,Return_to_owner,0,0,1,0,0,0,1,1,84.0,10,15,13924,3040
1248,Adoption,0,0,1,0,0,0,1,1,24.0,10,13,13924,22298
1249,Return_to_owner,0,0,1,0,0,0,1,1,8.0,11,16,13924,3040
1250,Transfer,0,0,0,1,0,1,0,0,12.0,6,18,13924,22298
1251,Return_to_owner,0,0,1,0,0,0,1,1,156.0,8,16,2292,22298
1252,Transfer,0,1,0,0,0,1,0,0,0.75,9,15,932,22298
1253,Adoption,0,0,1,0,0,1,0,1,72.0,2,1,3212,22298
1254,Adoption,0,0,0,1,0,1,0,1,3.0,8,9,13924,22298
1255,Transfer,0,0,0,1,0,0,1,1,24.0,3,16,13924,1391
1256,Return_to_owner,0,0,0,1,0,0,1,1,60.0,7,15,13924,22298
1257,Adoption,0,0,1,0,0,0,1,1,24.0,3,10,13924,22298
1258,Euthanasia,0,0,1,0,0,0,1,1,12.0,4,15,13924,22298
1259,Adoption,0,0,0,1,0,1,0,1,96.0,2,14,517,22298
1260,Adoption,0,0,1,0,0,0,1,1,36.0,12,12,13924,22298
1261,Return_to_owner,0,1,0,0,0,0,1,1,12.0,5,1,13924,22298
1262,Return_to_owner,1,0,0,0,0,1,0,1,84.0,8,11,530,22298
1263,Transfer,0,0,0,1,0,0,1,0,2.0,8,16,13924,22298
1264,Transfer,1,0,0,0,0,0,1,1,24.0,12,5,2292,1391
1265,Transfer,0,1,0,0,0,1,0,0,24.0,6,9,3212,22298
1266,Euthanasia,0,0,1,0,0,0,1,1,36.0,11,11,932,22298
1267,Adoption,0,0,0,1,0,1,0,1,4.0,9,15,13924,22298
1268,Transfer,0,0,0,1,0,1,0,1,60.0,12,14,13924,22298
1269,Transfer,0,0,1,0,0,0,1,1,10.0,12,11,13924,22298
1270,Adoption,0,0,0,1,0,0,1,1,24.0,3,16,13924,22298
1271,Adoption,0,0,1,0,0,1,0,1,48.0,8,16,2292,22298
1272,Transfer,1,0,0,0,0,1,0,0,0.0,7,14,3212,22298
1273,Return_to_owner,0,0,0,1,0,0,1,1,12.0,2,9,13924,22298
1274,Return_to_owner,0,0,1,0,0,0,1,1,48.0,10,11,2772,22298
1275,Transfer,0,1,0,0,0,0,1,1,6.0,8,11,2772,22298
1276,Transfer,0,0,0,0,1,1,0,0,0.75,5,14,13924,22298
1277,Adoption,0,0,1,0,0,0,1,1,36.0,3,13,13924,1391
1278,Transfer,0,0,1,0,0,1,0,1,12.0,2,1,3212,22298
1279,Transfer,0,0,1,0,0,0,1,1,11.0,9,9,13924,22298
1280,Adoption,0,0,1,0,0,1,0,1,84.0,4,14,13924,22298
1281,Transfer,0,1,0,0,0,1,0,1,24.0,10,14,13924,22298
1282,Transfer,1,0,0,0,0,1,0,0,3.0,7,9,13924,22298
1283,Adoption,0,0,0,1,0,1,0,1,84.0,6,12,3212,22298
1284,Euthanasia,0,1,0,0,0,1,0,0,1.0,11,15,13924,22298
1285,Transfer,1,0,0,0,0,0,1,0,7.0,12,7,13924,3040
1286,Transfer,0,1,0,0,0,1,0,0,0.0,5,14,932,22298
1287,Transfer,1,0,0,0,0,0,1,1,12.0,2,2,2772,22298
1288,Return_to_owner,0,0,1,0,0,0,1,1,24.0,2,17,2292,22298
1289,Adoption,0,0,1,0,0,0,1,1,24.0,6,12,13924,22298
1290,Transfer,0,1,0,0,0,1,0,0,12.0,11,15,3212,22298
1291,Adoption,0,0,1,0,0,1,0,1,2.0,8,2,13924,22298
1292,Adoption,0,0,1,0,0,0,1,1,12.0,10,5,2772,22298
1293,Adoption,0,0,0,1,0,1,0,1,6.0,10,14,2772,22298
1294,Adoption,0,0,1,0,0,1,0,0,2.0,4,10,2292,22298
1295,Transfer,0,0,0,1,0,0,1,0,12.0,4,24,13924,22298
1296,Adoption,0,0,0,1,0,0,1,1,24.0,6,15,13924,22298
1297,Transfer,0,0,1,0,0,1,0,0,12.0,1,17,13924,22298
1298,Transfer,0,0,0,1,0,0,1,1,48.0,5,11,13924,22298
1299,Adoption,0,0,1,0,0,1,0,1,2.0,6,17,532,22298
1300,Euthanasia,1,0,0,0,0,0,1,0,60.0,8,10,13924,22298
1301,Return_to_owner,0,0,0,1,0,0,1,1,168.0,9,13,13924,3040
1302,Return_to_owner,0,0,0,1,0,0,1,1,24.0,12,13,932,1391
1303,Transfer,0,0,1,0,0,1,0,1,7.0,6,14,2292,22298
1304,Euthanasia,0,0,0,1,0,0,1,1,12.0,8,17,13924,22298
1305,Transfer,0,1,0,0,0,0,1,0,4.0,12,16,13924,3040
1306,Return_to_owner,0,0,0,1,0,0,1,1,24.0,1,8,639,22298
1307,Transfer,1,0,0,0,0,1,0,0,3.0,5,17,3212,22298
1308,Adoption,0,0,0,1,0,0,1,1,9.0,9,15,932,22298
1309,Transfer,0,1,0,0,0,1,0,0,3.0,8,9,3212,22298
1310,Adoption,0,0,0,1,0,1,0,1,36.0,9,12,2772,22298
1311,Adoption,0,0,1,0,0,0,1,1,1.0,5,4,13924,3040
1312,Return_to_owner,0,0,1,0,0,0,1,1,36.0,5,17,2772,22298
1313,Return_to_owner,1,0,0,0,0,0,1,0,12.0,1,24,13924,22298
1314,Return_to_owner,0,1,0,0,0,0,1,1,72.0,8,11,13924,22298
1315,Transfer,1,0,0,0,0,1,0,1,2.0,6,13,3212,22298
1316,Transfer,0,0,1,0,0,0,1,1,144.0,7,13,13924,22298
1317,Transfer,0,1,0,0,0,1,0,1,1.0,11,12,13924,22298
1318,Transfer,0,0,0,1,0,1,0,1,96.0,8,4,2772,22298
1319,Transfer,0,1,0,0,0,1,0,0,12.0,10,9,13924,22298
1320,Adoption,0,0,0,1,0,1,0,1,12.0,7,15,3212,22298
1321,Transfer,0,1,0,0,0,1,0,1,1.0,8,13,13924,22298
1322,Return_to_owner,0,0,0,1,0,1,0,1,48.0,3,17,13924,22298
1323,Adoption,0,0,0,1,0,0,1,1,1.0,8,17,13924,22298
1324,Transfer,1,0,0,0,0,1,0,0,0.75,7,13,3212,22298
1325,Transfer,0,1,0,0,0,0,1,0,2.0,2,14,932,3040
1326,Transfer,0,1,0,0,0,1,0,0,0.0,6,12,3212,22298
1327,Euthanasia,0,1,0,0,0,1,0,0,6.0,11,9,3212,22298
1328,Euthanasia,1,0,0,0,0,0,1,1,24.0,1,15,13924,22298
1329,Return_to_owner,1,0,0,0,0,0,1,1,24.0,8,12,13924,22298
1330,Adoption,0,0,0,1,0,0,1,1,72.0,12,12,13924,22298
1331,Transfer,0,1,0,0,0,0,1,0,1.0,4,14,13924,3040
1332,Return_to_owner,0,0,0,1,0,0,1,1,168.0,5,12,13924,22298
1333,Transfer,0,0,1,0,0,0,1,0,5.0,7,17,13924,22298
1334,Adoption,0,0,1,0,0,1,0,1,3.0,7,8,2292,22298
1335,Transfer,1,0,0,0,0,0,1,0,1.0,3,17,13924,22298
1336,Transfer,0,0,0,1,0,0,1,1,6.0,3,10,13924,1391
1337,Adoption,0,0,0,1,0,1,0,1,36.0,2,15,3212,22298
1338,Adoption,0,0,1,0,0,0,1,1,12.0,2,18,13924,22298
1339,Transfer,0,1,0,0,0,1,0,0,12.0,5,9,3212,22298
1340,Transfer,0,0,0,1,0,0,1,1,36.0,10,16,2772,22298
1341,Transfer,0,1,0,0,0,1,0,0,1.0,6,13,13924,22298
1342,Transfer,0,0,0,1,0,0,1,0,2.0,9,17,2772,22298
1343,Adoption,0,0,1,0,0,1,0,1,72.0,2,3,13924,22298
1344,Adoption,0,0,1,0,0,0,1,1,60.0,2,16,13924,3040
1345,Adoption,0,0,0,1,0,1,0,1,108.0,6,17,530,22298
1346,Return_to_owner,0,1,0,0,0,0,1,1,24.0,2,15,932,3040
1347,Return_to_owner,0,0,0,1,0,0,1,1,120.0,5,9,13924,3040
1348,Adoption,1,0,0,0,0,0,1,1,1.0,8,12,2772,3040
1349,Adoption,0,1,0,0,0,1,0,1,2.0,12,15,13924,22298
1350,Adoption,0,0,0,1,0,0,1,1,36.0,9,10,13924,3040
1351,Transfer,0,0,1,0,0,0,1,1,6.0,1,18,13924,22298
1352,Adoption,0,0,0,1,0,1,0,1,4.0,9,18,3212,22298
1353,Adoption,0,0,1,0,0,1,0,1,4.0,8,12,3212,22298
1354,Adoption,0,0,0,1,0,0,1,0,12.0,3,17,2772,3040
1355,Euthanasia,0,0,0,1,0,0,1,1,156.0,1,17,13924,22298
1356,Adoption,0,0,0,1,0,0,1,1,24.0,9,13,13924,22298
1357,Adoption,0,0,1,0,0,0,1,1,2.0,9,18,2292,22298
1358,Adoption,0,0,0,1,0,0,1,1,3.0,8,17,13924,3040
1359,Adoption,0,0,0,1,0,0,1,1,8.0,6,15,13924,3040
1360,Euthanasia,0,0,0,1,0,0,1,1,24.0,3,5,13924,1391
1361,Adoption,0,0,1,0,0,0,1,1,6.0,4,17,13924,22298
1362,Return_to_owner,0,0,0,1,0,0,1,1,96.0,1,5,13924,22298
1363,Adoption,0,0,1,0,0,0,1,1,8.0,11,17,2772,1391
1364,Transfer,0,0,1,0,0,0,1,0,12.0,2,16,932,22298
1365,Transfer,1,0,0,0,0,1,0,0,0.0,4,12,3212,22298
1366,Transfer,0,0,0,0,1,0,1,0,0.0,5,13,2772,22298
1367,Return_to_owner,0,0,0,1,0,0,1,1,12.0,7,17,13924,22298
1368,Adoption,0,0,1,0,0,0,1,1,24.0,2,12,13924,3040
1369,Adoption,0,0,0,1,0,1,0,1,4.0,10,18,13924,22298
1370,Adoption,0,0,0,1,0,0,1,1,24.0,12,18,13924,22298
1371,Transfer,1,0,0,0,0,1,0,0,4.0,2,9,13924,22298
1372,Adoption,0,0,1,0,0,0,1,1,24.0,11,8,13924,3040
1373,Adoption,0,0,1,0,0,1,0,0,2.0,9,17,13924,22298
1374,Return_to_owner,0,0,0,1,0,0,1,1,36.0,9,15,13924,22298
1375,Adoption,0,0,0,1,0,1,0,1,3.0,9,16,3212,22298
1376,Return_to_owner,1,0,0,0,0,0,1,1,12.0,1,10,13924,22298
1377,Transfer,0,1,0,0,0,0,1,1,120.0,7,9,2772,3040
1378,Died,0,1,0,0,0,1,0,1,1.0,6,13,3212,1391
1379,Transfer,0,0,1,0,0,0,1,0,72.0,6,2,13924,22298
1380,Adoption,0,0,1,0,0,1,0,1,36.0,11,12,532,22298
1381,Transfer,0,0,1,0,0,0,1,1,24.0,12,14,932,22298
1382,Transfer,1,0,0,0,0,1,0,1,24.0,9,3,2772,22298
1383,Adoption,0,0,1,0,0,0,1,1,48.0,6,11,13924,3040
1384,Return_to_owner,0,0,1,0,0,0,1,1,132.0,11,13,13924,22298
1385,Return_to_owner,0,0,1,0,0,0,1,1,36.0,5,8,2292,3040
1386,Adoption,0,0,0,1,0,0,1,1,4.0,3,17,13924,22298
1387,Adoption,0,0,1,0,0,0,1,1,6.0,7,2,13924,22298
1388,Transfer,0,0,0,0,1,1,0,0,24.0,7,9,2292,22298
1389,Transfer,0,0,0,1,0,0,1,1,48.0,9,18,13924,22298
1390,Return_to_owner,1,0,0,0,0,0,1,1,24.0,4,17,13924,22298
1391,Adoption,0,0,1,0,0,0,1,1,12.0,12,14,13924,22298
1392,Return_to_owner,0,0,1,0,0,0,1,1,12.0,2,11,13924,22298
1393,Adoption,0,0,0,1,0,0,1,0,24.0,12,13,13924,22298
1394,Adoption,0,0,1,0,0,1,0,1,72.0,8,15,3212,22298
1395,Return_to_owner,0,1,0,0,0,0,1,1,132.0,11,15,2772,22298
1396,Euthanasia,0,1,0,0,0,1,0,0,96.0,12,11,13924,22298
1397,Adoption,0,0,0,1,0,0,1,1,108.0,4,9,2292,22298
1398,Transfer,0,0,0,1,0,0,1,1,9.0,12,11,639,22298
1399,Transfer,0,0,0,1,0,0,1,1,48.0,5,15,13924,22298
1400,Transfer,0,0,0,0,1,0,1,0,2.0,6,17,2772,22298
1401,Adoption,0,0,1,0,0,1,0,1,3.0,12,17,3212,22298
1402,Transfer,0,1,0,0,0,1,0,0,1.0,6,18,2292,22298
1403,Return_to_owner,0,0,0,1,0,0,1,1,12.0,9,16,628,22298
1404,Return_to_owner,0,0,1,0,0,1,0,1,24.0,1,17,13924,22298
1405,Transfer,0,1,0,0,0,1,0,0,24.0,12,13,2292,22298
1406,Transfer,0,0,1,0,0,1,0,1,84.0,5,24,2292,22298
1407,Transfer,0,0,1,0,0,0,1,1,4.0,4,2,13924,3040
1408,Adoption,0,0,1,0,0,1,0,1,60.0,4,16,13924,22298
1409,Adoption,0,0,1,0,0,0,1,1,12.0,4,16,2772,22298
1410,Transfer,1,0,0,0,0,0,1,1,2.0,4,12,13924,3040
1411,Adoption,0,0,1,0,0,0,1,1,2.0,11,24,2772,22298
1412,Transfer,0,0,0,0,1,1,0,0,0.5,7,17,3212,22298
1413,Euthanasia,1,0,0,0,0,0,1,0,144.0,1,17,2772,22298
1414,Adoption,0,0,0,1,0,0,1,1,6.0,3,16,13924,22298
1415,Euthanasia,1,0,0,0,0,0,1,1,120.0,3,12,13924,22298
1416,Transfer,0,0,1,0,0,0,1,1,12.0,6,8,13924,22298
1417,Adoption,0,0,1,0,0,0,1,1,12.0,12,10,932,22298
1418,Adoption,0,0,1,0,0,0,1,1,1.0,2,17,13924,22298
1419,Transfer,1,0,0,0,0,0,1,1,24.0,8,13,2292,22298
1420,Transfer,0,0,1,0,0,0,1,1,24.0,10,11,13924,22298
1421,Adoption,0,0,1,0,0,0,1,1,10.0,2,11,13924,22298
1422,Adoption,0,0,1,0,0,0,1,1,24.0,7,18,13924,22298
1423,Euthanasia,0,1,0,0,0,0,1,1,60.0,11,12,13924,22298
1424,Adoption,0,0,0,1,0,1,0,1,3.0,11,10,532,22298
1425,Euthanasia,1,0,0,0,0,1,0,1,1.25,9,8,3212,22298
1426,Return_to_owner,0,0,0,1,0,0,1,1,48.0,12,13,13924,22298
1427,Transfer,0,1,0,0,0,1,0,1,2.0,8,13,13924,22298
1428,Adoption,0,0,1,0,0,1,0,1,2.0,8,8,13924,22298
1429,Adoption,0,0,1,0,0,0,1,1,6.0,12,4,13924,3040
1430,Adoption,0,0,1,0,0,1,0,1,10.0,3,9,13924,22298
1431,Transfer,0,0,1,0,0,1,0,0,24.0,9,13,3212,22298
1432,Adoption,0,0,1,0,0,1,0,1,3.0,7,17,2292,22298
1433,Transfer,0,0,0,0,1,1,0,0,24.0,2,9,2292,22298
1434,Return_to_owner,0,0,0,1,0,0,1,1,24.0,5,5,2772,3040
1435,Adoption,0,0,0,1,0,0,1,1,24.0,11,12,13924,22298
1436,Return_to_owner,0,0,1,0,0,0,1,1,12.0,12,18,639,22298
1437,Transfer,0,0,1,0,0,1,0,1,2.0,11,13,13924,22298
1438,Return_to_owner,0,0,1,0,0,0,1,1,24.0,3,16,2292,3040
1439,Transfer,0,1,0,0,0,1,0,0,0.5,7,14,13924,22298
1440,Adoption,0,0,1,0,0,1,0,1,84.0,8,18,13924,22298
1441,Return_to_owner,0,0,0,1,0,0,1,1,24.0,5,12,13924,22298
1442,Adoption,0,0,1,0,0,1,0,1,24.0,2,18,13924,22298
1443,Adoption,0,0,1,0,0,0,1,1,60.0,12,18,13924,22298
1444,Euthanasia,0,0,1,0,0,0,1,0,144.0,2,4,13924,22298
1445,Adoption,0,0,0,1,0,1,0,1,2.0,12,18,13924,22298
1446,Adoption,0,0,1,0,0,0,1,1,48.0,11,10,13924,22298
1447,Adoption,0,0,1,0,0,0,1,1,72.0,6,12,639,3040
1448,Adoption,0,0,1,0,0,0,1,1,2.0,1,12,2772,22298
1449,Return_to_owner,0,0,1,0,0,0,1,1,24.0,4,18,2292,22298
1450,Transfer,1,0,0,0,0,1,0,1,1.0,7,11,3212,22298
1451,Adoption,0,0,0,1,0,0,1,1,12.0,6,19,13924,3040
1452,Transfer,0,1,0,0,0,1,0,0,0.25,10,3,2292,22298
1453,Transfer,0,0,0,1,0,0,1,1,5.0,4,1,2772,22298
1454,Transfer,1,0,0,0,0,1,0,1,1.0,6,14,530,22298
1455,Transfer,1,0,0,0,0,1,0,0,24.0,8,9,13924,22298
1456,Transfer,0,1,0,0,0,1,0,0,0.0,4,14,13924,22298
1457,Transfer,0,0,1,0,0,0,1,0,3.0,6,14,13924,22298
1458,Adoption,0,0,0,1,0,0,1,1,4.0,12,13,13924,22298
1459,Adoption,0,0,0,1,0,1,0,1,72.0,3,17,517,22298
1460,Return_to_owner,0,0,1,0,0,0,1,1,24.0,6,4,2772,3040
1461,Transfer,0,0,0,1,0,0,1,1,24.0,12,15,13924,22298
1462,Adoption,0,0,1,0,0,1,0,1,4.0,12,17,2292,22298
1463,Adoption,0,0,0,1,0,0,1,1,1.0,6,17,13924,22298
1464,Adoption,0,0,1,0,0,1,0,1,2.0,11,16,2292,22298
1465,Return_to_owner,0,0,0,1,0,1,0,1,3.0,7,17,3212,22298
1466,Adoption,0,0,1,0,0,1,0,1,2.0,10,16,3212,22298
1467,Adoption,0,0,1,0,0,1,0,1,3.0,12,6,2292,22298
1468,Adoption,0,0,0,1,0,0,1,1,24.0,4,14,13924,3040
1469,Return_to_owner,0,0,0,1,0,0,1,1,48.0,1,3,932,3040
1470,Transfer,0,0,0,1,0,0,1,1,9.0,1,8,639,22298
1471,Transfer,0,0,0,0,1,1,0,0,0.75,4,1,13924,22298
1472,Transfer,0,1,0,0,0,0,1,0,8.0,9,18,13924,22298
1473,Transfer,1,0,0,0,0,1,0,1,2.0,10,11,13924,1391
1474,Return_to_owner,0,0,1,0,0,0,1,1,36.0,11,11,13924,22298
1475,Adoption,0,0,0,1,0,0,1,1,12.0,11,13,932,22298
1476,Adoption,0,0,1,0,0,0,1,1,12.0,8,16,13924,3040
1477,Return_to_owner,0,0,1,0,0,0,1,1,5.0,12,10,639,22298
1478,Transfer,0,0,0,1,0,1,0,1,24.0,10,14,3212,22298
1479,Transfer,0,0,0,0,1,1,0,0,0.5,6,15,13924,22298
1480,Transfer,1,0,0,0,0,0,1,1,2.0,10,15,639,22298
1481,Transfer,0,0,0,0,1,1,0,0,12.0,5,15,2772,22298
1482,Transfer,0,0,0,1,0,0,1,1,48.0,11,11,628,22298
1483,Euthanasia,0,1,0,0,0,1,0,1,9.0,5,11,13924,22298
1484,Adoption,0,0,1,0,0,0,1,1,12.0,8,5,13924,22298
1485,Return_to_owner,0,0,1,0,0,1,0,1,132.0,3,18,532,22298
1486,Adoption,0,0,0,1,0,0,1,1,12.0,8,6,13924,22298
1487,Adoption,0,1,0,0,0,1,0,1,1.0,7,14,2772,22298
1488,Return_to_owner,0,0,0,1,0,1,0,0,12.0,7,13,13924,22298
1489,Adoption,0,0,1,0,0,1,0,1,2.0,12,18,13924,22298
1490,Return_to_owner,0,0,1,0,0,0,1,1,8.0,11,18,13924,22298
1491,Return_to_owner,0,0,0,1,0,0,1,1,36.0,12,18,2772,22298
1492,Adoption,0,0,1,0,0,0,1,1,12.0,8,16,13924,3040
1493,Transfer,0,0,1,0,0,0,1,1,48.0,4,17,13924,22298
1494,Transfer,0,0,1,0,0,0,1,1,24.0,10,14,13924,3040
1495,Adoption,0,0,0,1,0,0,1,1,12.0,1,16,2292,22298
1496,Euthanasia,0,0,1,0,0,0,1,1,144.0,5,16,13924,22298
1497,Adoption,0,0,0,1,0,0,1,1,24.0,5,15,13924,22298
1498,Transfer,0,0,0,1,0,0,1,1,60.0,10,11,13924,22298
1499,Transfer,0,0,1,0,0,0,1,1,12.0,2,17,2772,22298
1500,Transfer,0,1,0,0,0,1,0,0,7.0,10,9,532,22298
1501,Adoption,0,0,0,1,0,1,0,0,24.0,10,7,2772,22298
1502,Died,1,0,0,0,0,1,0,1,4.0,9,4,13924,22298
1503,Return_to_owner,0,0,1,0,0,0,1,1,48.0,3,15,13924,22298
1504,Adoption,0,0,0,1,0,0,1,1,60.0,2,17,628,22298
1505,Transfer,0,1,0,0,0,1,0,0,2.0,3,14,3212,22298
1506,Transfer,0,1,0,0,0,0,1,0,10.0,1,19,932,22298
1507,Adoption,0,0,0,1,0,1,0,1,1.0,10,15,13924,22298
1508,Adoption,0,0,0,1,0,1,0,1,3.0,12,15,530,22298
1509,Adoption,0,0,0,1,0,0,1,1,12.0,9,14,13924,22298
1510,Euthanasia,0,1,0,0,0,1,0,0,144.0,10,12,13924,22298
1511,Adoption,0,0,1,0,0,0,1,1,96.0,2,18,13924,22298
1512,Return_to_owner,0,0,0,1,0,0,1,1,36.0,5,11,13924,22298
1513,Transfer,0,1,0,0,0,1,0,0,0.0,8,18,13924,22298
1514,Transfer,1,0,0,0,0,0,1,1,12.0,3,13,13924,22298
1515,Return_to_owner,0,0,1,0,0,0,1,1,108.0,9,11,13924,22298
1516,Return_to_owner,0,0,1,0,0,0,1,1,1.0,4,18,13924,22298
1517,Adoption,0,0,1,0,0,0,1,1,12.0,8,14,2292,3040
1518,Adoption,0,0,0,1,0,1,0,1,168.0,12,13,532,22298
1519,Transfer,0,0,0,0,1,1,0,0,3.0,8,9,2292,22298
1520,Adoption,0,0,0,1,0,0,1,1,24.0,6,8,628,22298
1521,Transfer,0,0,0,0,1,1,0,0,12.0,6,9,3212,22298
1522,Return_to_owner,0,0,1,0,0,0,1,1,36.0,7,17,639,3040
1523,Adoption,0,0,0,1,0,0,1,1,5.0,10,18,2772,22298
1524,Adoption,0,0,0,1,0,1,0,1,2.0,10,17,2292,22298
1525,Transfer,0,1,0,0,0,1,0,1,2.0,10,11,3212,22298
1526,Adoption,0,0,1,0,0,1,0,0,3.0,7,5,13924,22298
1527,Return_to_owner,0,1,0,0,0,0,1,1,12.0,10,15,2292,22298
1528,Euthanasia,0,1,0,0,0,1,0,0,36.0,3,16,3212,22298
1529,Adoption,0,0,1,0,0,0,1,1,60.0,8,16,628,22298
1530,Adoption,0,0,1,0,0,0,1,1,12.0,10,18,13924,22298
1531,Transfer,0,0,0,1,0,0,1,1,8.0,3,17,13924,22298
1532,Adoption,0,0,1,0,0,1,0,0,2.0,11,12,532,22298
1533,Transfer,0,1,0,0,0,1,0,0,0.25,10,15,2292,22298
1534,Adoption,0,0,0,1,0,0,1,1,2.0,8,12,13924,3040
1535,Transfer,0,0,1,0,0,0,1,1,36.0,7,1,13924,22298
1536,Transfer,0,1,0,0,0,0,1,1,36.0,1,13,932,22298
1537,Transfer,0,0,0,0,1,1,0,0,0.75,5,13,13924,22298
1538,Adoption,0,0,1,0,0,1,0,1,36.0,10,17,2772,22298
1539,Euthanasia,0,0,1,0,0,0,1,1,24.0,11,9,13924,22298
1540,Euthanasia,0,0,0,1,0,1,0,1,156.0,8,16,3212,22298
1541,Transfer,0,1,0,0,0,0,1,0,1.0,5,12,13924,22298
1542,Adoption,0,0,1,0,0,0,1,1,2.0,1,18,13924,22298
1543,Adoption,0,0,0,1,0,1,0,1,2.0,5,16,13924,22298
1544,Adoption,0,0,1,0,0,0,1,1,12.0,12,16,2772,22298
1545,Adoption,0,0,1,0,0,0,1,1,10.0,6,6,13924,3040
1546,Transfer,1,0,0,0,0,0,1,0,0.25,6,17,932,22298
1547,Adoption,0,0,0,1,0,0,1,1,1.0,7,18,13924,3040
1548,Return_to_owner,0,0,0,1,0,0,1,1,24.0,11,19,13924,22298
1549,Transfer,1,0,0,0,0,1,0,0,0.75,9,13,517,22298
1550,Adoption,0,0,1,0,0,0,1,1,24.0,12,13,13924,22298
1551,Transfer,0,0,0,1,0,0,1,1,12.0,1,24,13924,22298
1552,Adoption,0,0,0,1,0,0,1,1,12.0,11,7,13924,22298
1553,Adoption,0,0,1,0,0,0,1,1,12.0,8,13,13924,22298
1554,Transfer,0,0,0,1,0,1,0,1,12.0,11,5,2292,22298
1555,Transfer,0,1,0,0,0,0,1,0,6.0,1,18,13924,22298
1556,Transfer,1,0,0,0,0,1,0,0,0.25,4,16,3212,22298
1557,Adoption,0,0,0,1,0,1,0,1,4.0,11,8,2772,22298
1558,Euthanasia,0,1,0,0,0,1,0,0,2.0,12,11,2292,22298
1559,Adoption,0,0,0,1,0,0,1,1,96.0,1,12,13924,22298
1560,Return_to_owner,0,0,1,0,0,0,1,1,2.0,11,17,13924,3040
1561,Adoption,0,0,0,1,0,1,0,0,2.0,11,17,3212,22298
1562,Transfer,0,1,0,0,0,1,0,0,0.5,9,15,3212,22298
1563,Euthanasia,1,0,0,0,0,1,0,1,192.0,6,13,13924,22298
1564,Adoption,0,0,1,0,0,0,1,0,12.0,9,18,639,22298
1565,Adoption,0,0,0,1,0,0,1,1,24.0,3,15,2772,22298
1566,Return_to_owner,0,0,1,0,0,0,1,1,12.0,10,17,13924,3040
1567,Euthanasia,1,0,0,0,0,0,1,0,3.0,6,10,13924,22298
1568,Adoption,0,0,0,1,0,0,1,0,2.0,11,12,13924,3040
1569,Adoption,0,0,1,0,0,0,1,1,36.0,6,11,13924,22298
1570,Adoption,0,0,0,1,0,0,1,1,24.0,12,3,2772,22298
1571,Adoption,0,0,1,0,0,1,0,1,4.0,8,8,13924,22298
1572,Adoption,0,0,1,0,0,0,1,1,12.0,12,14,13924,22298
1573,Transfer,0,0,0,1,0,1,0,1,24.0,10,13,13924,22298
1574,Adoption,0,0,0,1,0,0,1,0,6.0,12,15,13924,22298
1575,Adoption,0,0,0,1,0,1,0,1,2.0,1,10,13924,22298
1576,Transfer,0,1,0,0,0,1,0,1,1.0,10,12,2292,22298
1577,Transfer,0,0,1,0,0,1,0,0,12.0,7,9,13924,22298
1578,Adoption,0,0,1,0,0,1,0,1,2.0,9,12,13924,22298
1579,Return_to_owner,0,0,1,0,0,0,1,1,36.0,2,18,13924,22298
